Issue_key,Summary,keyword
HADOOP-15478,WASB: hflush() and hsync() regression,"['block', 'block', 'block', 'block']"
HADOOP-16532,Fix TestViewFsTrash to use the correct homeDir.,"['block', 'parallel']"
HADOOP-17056,shelldoc fails in hadoop-common,['race']
HADOOP-13989,Remove erroneous source jar option from hadoop-client shade configuration,['cluster']
HADOOP-17011,Tolerate leading and trailing spaces in fs.defaultFS,"['node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'server', 'server', 'server', 'server', 'server', 'server']"
HADOOP-16457,Hadoop does not work with Kerberos config in hdfs-site.xml for simple security,"['node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'server', 'server', 'server']"
HADOOP-13922,Some modules have dependencies on hadoop-client jar removed by HADOOP-11804,['server']
HADOOP-15059,3.0 deployment cannot work with old version MR tar ball which breaks rolling upgrade,['cluster']
HADOOP-13403,AzureNativeFileSystem rename/delete performance improvements,['parallel']
HADOOP-17718,Explicitly set locale in the Dockerfile,['race']
HADOOP-17346,Fair call queue is defeated by abusive service principals,"['cluster', 'server', 'server']"
HADOOP-16080,hadoop-aws does not work with hadoop-client-api,"['server', 'server', 'server', 'server', 'server', 'server']"
HADOOP-18069,CVE-2021-0341 in okhttp@2.7.5 detected in hdfs-client  ,['race']
HADOOP-12948,Remove the defunct startKdc profile from hadoop-common,['race']
HADOOP-12884,A failed atomic folder rename operation can never recovery for the destination file is deleted in Wasb filesystem,"['recovery', 'recovery', 'recovery', 'recovery', 'block', 'crash', 'crash']"
HADOOP-14677,mvn clean compile fails,['race']
HADOOP-13565,KerberosAuthenticationHandler#authenticate should not rebuild SPN based on client request,"['node', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server']"
HADOOP-17151,upgrade jetty to 9.4.21,"['node', 'node', 'server']"
HADOOP-18157,S3AFileSystem cannot find a fake dir on minio,"['meta', 'meta', 'meta', 'meta', 'meta', 'meta']"
HADOOP-13748,TestKMS fails in testProxyUserSimple and testDelegationTokensOpsSimple,"['server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server']"
HADOOP-15098,TestClusterTopology#testChooseRandom fails intermittently,"['node', 'node', 'race']"
HADOOP-14919,BZip2 drops records when reading data in splits,"['block', 'block', 'block', 'block', 'block', 'block', 'block', 'block']"
HADOOP-16018,DistCp won't reassemble chunks when blocks per chunk > 0,"['block', 'block', 'block', 'block', 'block', 'block', 'block', 'block', 'block', 'block', 'block', 'block', 'parallel']"
HADOOP-15317,Improve NetworkTopology chooseRandom's loop,"['node', 'node', 'node', 'node', 'node', 'block', 'block', 'block', 'block', 'block', 'block', 'block', 'block', 'block', 'race', 'race', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'restart']"
HADOOP-17925,BUILDING.txt should not encourage to activate docs profile on building binary artifacts,['cluster']
