Issue_key,Summary,keyword
KAFKA-9543,Consumer offset reset after new segment rolling,"['broker', 'client', 'client', 'partition', 'partition', 'partition']"
KAFKA-9241,SASL Clients are not forced to re-authenticate if they don't leverage SaslAuthenticateRequest,"['client', 'client', 'connection', 'connection', 'connection', 'fail']"
KAFKA-10134,High CPU issue during rebalance in Kafka consumer after upgrading to 2.5,"['client', 'client', 'client', 'client', 'client', 'partition']"
KAFKA-8933,An unhandled SSL handshake exception in polling event - needed a retry logic,"['node', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'fail', 'fail', 'fail', 'fail', 'message', 'race', 'race']"
KAFKA-8972,KafkaConsumer.unsubscribe could leave inconsistent user rebalance callback state,"['consistent', 'consistent', 'assign', 'assign', 'assign', 'client', 'fail', 'partition', 'partition', 'assign', 'assign', 'assign']"
KAFKA-8334,Occasional OffsetCommit Timeout,"['network', 'follower', 'delay', 'delay', 'delay', 'delay', 'delay', 'replica', 'replica', 'replica', 'remote', 'broker', 'broker', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'connection', 'connection', 'connection', 'connection', 'connection', 'connection', 'connection', 'fail', 'fail', 'fail', 'lock', 'lock', 'lock', 'lock', 'lock', 'lock', 'lock', 'lock', 'lock', 'lock', 'lock', 'lock', 'lock', 'message', 'message', 'message', 'meta', 'meta', 'meta', 'partition', 'partition', 'partition', 'partition', 'partition', 'partition', 'partition', 'partition', 'partition', 'partition', 'partition', 'partition', 'partition', 'partition', 'partition', 'partition', 'partition', 'race', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server']"
KAFKA-13840,KafkaConsumer is unable to recover connection to group coordinator after commitOffsetsAsync exception,"['client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'connection', 'fail', 'fail']"
KAFKA-8755,Stand-by Task of an Optimized Source Table Does Not Write Anything to its State Store,"['replica', 'client', 'client', 'fail', 'fail']"
KAFKA-9891,Invalid state store content after task migration with exactly_once and standby replicas,"['node', 'node', 'node', 'node', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'client', 'client', 'crash', 'fail', 'message', 'message']"
KAFKA-14520,TimeoutException Raised by KafkaConsumer Leads to: User provided listener org.apache.kafka.connect.runtime.WorkerSinkTask$HandleRebalance failed on invocation of onPartitionsAssigned,"['cluster', 'assign', 'broker', 'broker', 'client', 'client', 'fail', 'fail', 'partition', 'partition', 'partition', 'partition', 'partition', 'partition', 'partition', 'partition', 'assign', 'restart', 'restart']"
KAFKA-10637,KafkaProducer: IllegalMonitorStateException ,"['client', 'client', 'client', 'client']"
KAFKA-9073,Kafka Streams State stuck in rebalancing after one of the StreamThread encounters java.lang.IllegalStateException: No current assignment for partition,"['delay', 'replica', 'replica', 'assign', 'assign', 'assign', 'assign', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'distributed', 'fail', 'message', 'message', 'meta', 'partition', 'partition', 'partition', 'partition', 'partition', 'race', 'race', 'race', 'race', 'assign', 'assign', 'assign', 'assign', 'server', 'server', 'server']"
KAFKA-8586,Source task producers silently fail to send records,"['broker', 'fail', 'fail', 'fail', 'message']"
KAFKA-13600,Rebalances while streams is in degraded state can cause stores to be reassigned and restore from scratch,"['node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'delay', 'cluster', 'cluster', 'cluster', 'assign', 'assign', 'assign', 'assign', 'assign', 'fail', 'assign', 'assign', 'assign', 'assign', 'assign', 'restart']"
KAFKA-13714,Flaky test IQv2StoreIntegrationTest,"['block', 'fail', 'fail', 'fail', 'fail', 'fail', 'fail', 'fail', 'fail', 'lock', 'message', 'partition', 'partition', 'partition', 'partition', 'race']"
KAFKA-8803,Stream will not start due to TimeoutException: Timeout expired after 60000milliseconds while awaiting InitProducerId,"['network', 'leader', 'leader', 'leader', 'consistent', 'consistent', 'replica', 'block', 'broker', 'broker', 'broker', 'broker', 'broker', 'broker', 'broker', 'client', 'connection', 'fail', 'lock', 'message', 'message', 'message', 'partition', 'partition', 'server']"
KAFKA-9212,Keep receiving FENCED_LEADER_EPOCH while sending ListOffsetRequest,"['leader', 'leader', 'leader', 'cluster', 'replica', 'broker', 'broker', 'broker', 'broker', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'crash', 'distributed', 'fail', 'fail', 'message', 'partition', 'partition', 'partition', 'partition', 'server', 'restart', 'restart']"
KAFKA-10455,Probing rebalances are not guaranteed to be triggered by non-leader members,"['leader', 'leader', 'leader', 'leader', 'leader', 'leader', 'leader', 'leader', 'assign', 'assign', 'broker', 'broker', 'partition', 'partition', 'partition', 'partition', 'assign', 'assign']"
